Headline,Headline ID
Canadian Soldier Shot At Ottawa War Memorial: Report,0
A soldier has been shot at Canada’s war memorial just steps away from the nation’s parliament,1
Soldier shot at war memorial in Canada,2
There has been a shooting at the War Memorial on Parliament Hill. Unconfirmed reports say a soldier was shot.,3
Soldier shot near Canadian parliament building,4
Iraqi social-media rumors claim IS leader slain,5
Caught a catfish record in Po: 127 kg and 2.67 meters,6
"Soldier, Gunman Killed In Shooting Incident Near Canadian Parliament",7
BREAKING NEWS: Gunman 'shot dead' after wounding soldier near Canada parliament,8
BREAKING: Soldier shot at War Memorial in Ottawa,9
Soldier shot in Ottawa at War Memorial,10
"One gunman killed in shooting on Parliament Hill in Ottawa, hunt on for other shooters",11
Small Meteorite Strikes in Nicaragua's Capital City of Managua,12
Kurds fear Isis use of chemical weapon in Kobani,13
Fisherman lands 19 STONE catfish which could be biggest in world to be hooked,14
Italian catches huge wels catfish; is it a record?,15
Monster catfish which looks big enough to swallow a man whole caught in Italy,16
Luke Somers 'killed in failed rescue attempt in Yemen',17
Italian fisherman catches monstrous 280-pound catfish,18
Soldier shot at War Memorial; multiple shots fired in Parliament,19
Not coming to a store near you: The pumpkin spice condom,20
"280 Pound Catfish: Fisherman Makes Huge Catch In Italy, Catfish Could Set Record",21
Giant 8ft 9in catfish weighing 19 stone caught in Italy is thought to be the biggest ever reeled in with a rod and line,22
"Google to buy big chunk of Pacific Shores, iconic Redwood City office park",23
Ottawa Shooting: Soldier Shot at Canada's National War Memorial,24
The Pumpkin-Spice Condom Is Just a Figment of Your Own Gross Imagination,25
Breaking: Soldier shot at National War Memorial in Ottawa,26
"Apple Watch to Be Shower-Proof, Have 100,000 Apps at Launch: Reports",27
Surreal Photos of Fisherman’s Jaw-Dropping Catch Will Likely Have People Wondering If It’s Real,28
Luke Somers' sister says he was killed in failed Yemen rescue attempt,29
Rumor debunked: RoboCop-style robots are not patrolling Microsoft's campus,30
Tourist dubbed ‘Spider Man’ after spider burrows under skin for days,31
"Comcast Is Threatening To Cut Off Customers Who Use Tor, The Web Browser For Criminals",32
"Soldier shot, Parliament locked down after gunfire erupts at war memorial",33
Source: Tom Brokaw Wants Brian Williams Fired,34
Enormous 20-stone catfish caught with fishing rod in Italy after 40-minute boat battle,35
El-Sisi denies claims he'll give Sinai land to Palestinians,36
"Apple Watch Price, Release Date News: Special Safes In Apple Stores For Gold Models, April Launch Confirmed",37
Apple Watches to be kept in safes,38
Apple installing safes in-store to protect gold Watch Edition,39
"Teen wakes up during brain surgery, asks how it’s going",40
Apple to keep gold Watch Editions in special in-store safes,41
Apple Stores will have custom-designed safes to store the gold Apple Watch in,42
Apple Stores to Keep Gold “Edition” Apple Watch in Custom Safes,43
Apple Watch Edition: special safes to be installed in Apple Stores to house luxury smart watch,44
Apple Stores Are Reportedly Installing Custom Safes To House Apple Watches,45
Gold Apple Watches to be stored in safes in Apple Stores,46
18-Karat Gold Apple Watch Edition To Be Locked In Safes At Apple Stores,47
CNN: Doctor Took Mid-Surgery Selfie with Unconscious Joan Rivers,48
South Korean woman's hair 'eaten' by robot vacuum cleaner as she slept,49
Apple Stores to install safes to secure gold Apple Watches,50
"Polish Teenager Wakes Up During Brain Surgery, Talks To Doctor",51
"Apple plans to phase out Beats Music brand, report says",52
"NHL expansion to include Toronto, Quebec City, Seattle and Las Vegas: Report",53
Gold Apple Watch Will Be Stored In Special Safes At Apple Stores,54
'Dear Sandwich Thief': Man's hilarious response to passive-aggressive sign posted on his office's fridge door sparks incredible kitchen note war,55
"Woman pays $20,000 for third breast to make herself LESS attractive to men",56
Woman with three breasts: Real or hoax?,57
The Story of the 3-Boobed Lady Is As Fake As Her Third Boob,58
Breast Chancer,59
Woman has third breast implanted,60
ISIS Is One Mile From Baghdad,61
Woman Who Claimed To Have Surgery To Add Third Breast Exposed As Hoaxer,62
Jasmine Tridevil Has Surgery 'To Add Third Breast' Total Recall Style,63
Israeli politicians praise Sisi plan to give Palestinians land for a state in Sinai,64
Third boob likely a hoax,65
"Fake or freak? Woman, 21, claims to have paid $20,000 to surgically add third breast in desperate bid to become a reality TV star",66
Is Jasmine Tridevil's Triple Breasted Tale An Internet Hoax?,67
Woman has surgery to get third breast: The three most statistically unlikely pairs of boobs,68
Is Jasmine Tridevil’s Third Boob Real? Alisha Hessler Hoax Rumors Swirl,69
‘Three-boobed’ woman: They’re not fake,70
Afghan Mother Kills 25 Taliban Fighters In Seven-Hour Gunbattle After Watching Her Son Slain In Ambush,71
"Report: Toronto, Seattle, Quebec City to join Vegas in 2017 NHL expansion",72
Four Reasons Not To Give Up Hope If Apple Buys Path,73
Meet the 3-boobed woman,74
They're fake! Woman who claims to have surgically implanted third breast is a self-proclaimed hoaxer who once reported a '3 breast prosthesis' stolen from her luggage,75
REPORT: 'JIHADI JOHN' WHO BEHEADED JAMES FOLEY WOUNDED IN US AIRSTRIKE,76
Florida Woman Has Surgery To Add Third Breast To Her Chest,77
This Woman Claims To Have Had Plastic Surgery To Have A Third Breast,78
Florida woman claims to have surgically added third breast,79
"Three-breasted Florida woman Jasmine Tridevil insists third boob is real, but police report shows she once lost 'prosthesis'",80
Triple-breasted woman pictured before 'operation' and vows surgery footage will prove third boob is no hoax,81
'I had a third breast implant so I can turn off men',82
Jasmine Tridevil: The woman with three breasts,83
Flight Delayed Due To Rampaging Scorpion,84
Jasmine Tridevil: Woman with three breast denies surgery hoax claims,85
Hewlett-Packard to split into two companies,86
"Man saved from bear attack when his Justin Bieber ringtones goes off, sending bear fleeing",87
Islamic State trying to SELL decapitated body of US hostage James Foley for $1 MILLION,88
"Sony Hackers Email: Thanks For Running Scared, We'll Stop Now",89
Woman with three breasts ‘was a fake who has tricked people online before’,90
Apple was forced to nix key health features from its smartwatch -- report,91
Three-breasted woman outed as fake by Tampa police,92
Tampa woman claims to add 3rd breast,93
"ISIS Leader Injured in Air Strike, Iraqi Officials Say",94
"Report: Woman claims she had third breast added, hopes to become a TV star",95
Lenovo Looking To Buy BlackBerry Ltd [REPORT],96
Dumb Racists Photoshop Ferguson Protester Into Awful Viral Meme,97
This Third Boob Is Probably Only Real in Our Hearts,98
Samsung Rumoured to be Supplying the Screens for Apple Watch... Mk II,99
Scorpion stings flier on Alaska Airlines flight from L.A.,100
Woman Gets Third Boob to Appear Unattractive to Men,101
A Russian Guy Says His Justin Bieber Ringtone Saved Him From A Bear Attack,102
Here's What We Know About ISIS's Alleged Organ Harvesting Operation,103
Justin Bieber ringtone saved a Russian fisherman during a bear attack,104
Adopting Potential Werewolves Is Routine Business for Argentine Presidents,105
Report: Woman who claimed to have third breast added is fake,106
Three Boobs Are Most Likely Two Boobs and a Lie,107
ISIS Releases Video Allegedly Showing Beheading of U.S. Journalist Steven Sotloff,108
"Woman Gets Third Boob Implanted, Wants to Be ""Unattractive to Men""",109
Ghost Ship,110
Florida woman gets third breast to become 'unattractive' 32,111
Kid Suspended For Allegedly Threatening Classmate With ‘Hobbit’ Magic,112
Florida woman has surgery to add third breast to make herself 'unatttractive to men',113
Florida woman gets third breast surgically implanted,114
Florida woman gets plastic surgery to add a third breast,115
Sketchy Rumor Claims Apple Planning New 4-Inch iPhone for 2015,116
"Three-Boobed Girl probably a hoax, because obviously",117
Woman With Three Breasts Is Reportedly A Fake: Jasmine Tridevil’s Real Identity Revealed,118
Woman Adds Third Breast by Undergoing Surgery to Participate in Reality Show,119
3-Boobed Woman a Fake,120
Blood money: How ISIS is selling human organs harvested from living hostages and its own dead soldiers to fund terror across the Middle East,121
MIRACLE CAT CLAWS ITS WAY OUT OF ITS OWN GRAVE FIVE DAYS AFTER BEING BURIED,122
"LG Display, Samsung unit to supply Apple Watch screens: Report",123
Egypt’s President denies offering land to Palestinians,124
Argentina's president 'adopts' godson 'to prevent him becoming a werewolf',125
Fox Affiliate Falls for College Humor's Office Note War Prank,126
Report: Egyptian President Makes Surprising Suggestion to Move the Location of a Future Palestinian State,127
Lunch theft prompts ransom note from sandwich thief,128
"3 Afghan Soldiers Missing From U.S. Base Apprehended at Canadian Border, Reports Say",129
This Is The Most Passive-Aggressive Office Battle We've Ever Seen,130
Hermaphroditic Cat Is Getting Gender Assignment Surgery,131
Egypt Offers Abbas Land in Sinai for Future Palestinian State Read,132
Al-Sisi proposes: Extend Gaza Strip into Sinai and establish Palestinian state there,133
Gender assignment surgery to be given to hermaphrodite cat,134
The Greater Gaza Plan: Is Israel trying to force Palestinians into Sinai?,135
Saudi national airline may introduce gender segregation on its flights,136
Israeli right welcomes Sisi's offer to a Palestinian State in Sinai,137
Office sandwich thief is caught after hilarious 'note war' reaches fantastic finale,138
Sisi denies claims over providing Palestinians with Sinai lands,139
Israeli report: Sisi offered Abbas a Palestinian state in Sinai,140
Rumors Swirling About Israel's Shocking Sinai 'Endgame' Plan for Palestinians in Gaza,141
Hermaphroditic cat awaits a gender reassignment surgery to become a boy,142
"Was Charles Manson's ""Fiancée"" Playing Him to Get Custody of His Corpse?",143
Sandwich thief gets comeuppance in this awesome office note saga,144
Five-year-old boy gets a bill for missing school friend's birthday party,145
Hermaphrodite cat named Mittens to get gender reassignment,146
President Sisi's Gift,147
REPORT: Tesla Chooses Nevada For Site Of Its Massive Battery Factory,148
Hermaphroditic cat to get gender assignment surgery,149
Mittens The Intersex Cat To Get Gender Assignment,150
School children in Johannesburg imitate dog fighting during recess,151
Police officer in Charlie Hebdo investigation 'shot himself dead hours after the attack',152
Hermaphroditic cat to undergo gender reassignment surgery,153
Argentina president adopts Jewish godson for first time in country's history,154
Canadian cat Mittens to undergo gender reassignment surgery after it is revealed to be a hermaphrodite,155
Egypt's Sisi Offered Abbas Creation of Palestinian State in Sinai Peninsula,156
It Begins: HazMat-Wearing Passenger Spotted At Airport,157
'There is no limit to their depravity' Islamic State FEED mother her own SON,158
WHO: Isis does not have Ebola – but contingency plan being developed for Iraq,159
Elderly Woman Arrested for Kidnapping Neighbor’s Cats & Making Fur Coats,160
WHO says reports of suspected Ebola cases in Iraq are untrue,161
"Reports Isis fighters have contracted Ebola are 'incorrect', says Iraqi health ministry",162
"ISIS Militants In Mosul Have Contracted Ebola, Iraqi Media Sources Claim",163
Has Ebola infected Isis militants in Mosul?,164
WHO ‘probing’ whether ISIS fighters got Ebola,165
Isis militants claim to have killed US journalist James Foley,166
"No, there aren’t any Ebola cases in Iraq",167
Amazon.com to open first physical store in Manhattan: DJ,168
"Comfort eating? Chinese woman, 26, spends an entire WEEK in KFC after being dumped by boyfriend",169
WHO investigates media reports ISIS fighters contracted Ebola,170
Setting the record straight on tor,171
